iter	Passed	Remaining
764	5957	1829
765	5962	1821
766	5970	1813
767	5977	1805
768	5981	1796
769	5985	1787
770	5989	1779
771	5998	1771
772	6005	1763
773	6010	1754
774	6013	1745
775	6017	1736
776	6772	6010	777	6773	6016	778	6774	6020	779	6038	1703
780	6045	1695
781	6051	1686
782	6059	1679
783	6066	1671
784	6077	1664
785	6081	1655
786	6087	1647
787	6093	1639
788	6107	1633
789	6110	1624
790	6786	6105	791	6787	6110	1644
788	6124	1637
789	6134	1630
790	6139	1622
791	6145	1613
792	6150	1605
793	6153	1596
794	6156	1587
795	6159	1578
796	6165	1570
797	6169	1561
798	6173	1552
799	6177	1544
800	6181	1535
801	6184	1526
802	6190	1518
803	6194	1510
804	6198	1501
805	6202	1492
806	6205	1484
807	6207	1475
808	6212	1466
809	6214	1457
810	6218	1449
811	6221	1440
812	6225	1432
813	6232	1424
814	6239	1416
815	6248	1408
816	6253	1400
817	6256	1391
818	6260	1383
819	6263	1374
820	6266	1366
821	6270	1357
822	6274	1349
823	6277	1340
824	6279	1332
825	6282	1323
826	6285	1314
827	6289	1306
828	6294	1298
829	6299	1290
830	6302	1281
831	6307	1273
832	6313	1265
833	6324	1258
834	6329	1250
835	6345	1244
836	6353	1237
837	6362	1229
838	6374	1223
839	6380	1215
840	6387	1207
841	6395	1200
842	6399	1191
843	6405	1184
844	6410	1175
845	6416	1168
846	6423	1160
847	6427	1152
848	6430	1143
849	6435	1135
850	6443	1128
851	6448	1120
852	6453	1112
853	6461	1104
854	6467	1096
855	6473	1089
856	6476	1080
857	6480	1072
858	6485	1064
859	6494	1057
860	6496	1048
861	6506	1041
862	6512	1033
863	6518	1026
864	6522	1017
865	6526	1009
866	6533	1002
867	6539	994
868	6542	986
869	6546	978
870	6551	970
871	6556	962
872	6560	954
873	6562	946
874	6565	937
875	6570	930
876	6575	922
877	6578	914
878	6582	906
879	6585	898
880	6590	890
881	6593	882
882	6598	874
883	6606	866
884	6616	859
885	6626	852
886	6630	844
887	6635	836
888	6638	828
889	6641	820
890	6644	812
891	6647	804
892	6651	796
893	6654	789
894	6658	781
895	6661	773
896	6665	765
897	6668	757
898	6670	749
899	6672	741
900	6675	733
901	6680	725
902	6683	717
903	6686	710
904	6690	702
905	6693	694
906	6696	686
907	6699	678
908	6702	671
909	6706	663
910	6710	655
911	6712	647
912	6717	640
913	6719	632
914	6721	624
915	6724	616
916	6726	608
917	6728	600
918	6730	593
919	6732	585
920	6734	577
921	6736	569
922	6737	562
923	6739	554
924	6741	546
925	6742	538
926	6744	531
927	6746	523
928	6748	515
929	6750	508
930	6752	500
931	6754	492
932	6756	485
933	6758	477
934	6759	469
935	6761	462
936	6763	454
937	6765	447
938	6767	439
939	6770	432
940	6771	424
941	6773	417
942	6775	409
943	6776	402
944	6778	394
945	6780	387
946	6782	379
947	6783	372
948	6785	364
949	6786	357
950	6788	349
951	6790	342
952	6791	334
953	6793	327
954	6794	320
955	6796	312
956	6798	305
957	6799	298
958	6801	290
959	6803	283
960	6804	276
961	6806	268
962	6808	261
963	6809	254
964	6811	247
965	6812	239
966	6814	232
967	6816	225
968	6817	218
969	6819	210
